,iteration_num,N_screened,percentage_screened,mean_score,median_score,min_score,shared_with_top_N,N_found_by_now,N_found_if_random,percentage_found
55,55,1100000,1.1432823132168237,-52.544504499999995,-54.765,-87.09,318,22557,560,46.889226100151745
56,56,1120000,1.1640692643662205,-59.827971,-62.14,-89.57,613,23170,570,48.16346893383499
57,57,1140000,1.1848562155156173,-53.0609425,-55.77,-86.0,330,23500,580,48.84943979046709
58,58,1160000,1.205643166665014,-51.788256,-54.41,-88.05,338,23838,590,49.552040243623594
59,59,1180000,1.2264301178144108,-50.35493,-53.4,-89.02,347,24185,600,50.27334899287006
60,60,1200000,1.2472170689638078,-52.275795,-55.075,-86.43,255,24440,610,50.80341738208577
61,61,1220000,1.2680040201132046,-43.4531775,-39.69,-84.78,158,24598,620,51.13185191344295
62,62,1240000,1.2887909712626013,-47.164017,-44.935,-84.62,193,24791,630,51.53304092959444
63,63,1260000,1.309577922411998,-51.471199,-54.21,-88.08,316,25107,640,52.18990999230881
64,64,1280000,1.3303648735613949,-50.263304999999995,-51.3,-84.74,265,25372,650,52.74076537718003
65,65,1300000,1.3511518247107916,-41.355422499999996,-38.3,-83.93,120,25492,660,52.99020932504626
66,66,1320000,1.3719387758601884,-49.3176675,-49.22,-84.78,254,25746,670,53.51819901469641
67,67,1340000,1.3927257270095852,-60.80645349999999,-62.87,-93.76,697,26443,680,54.967052611886004
68,68,1360000,1.413512678158982,-48.7960515,-50.8,-87.7,169,26612,690,55.31835283846426
69,69,1380000,1.4342996293083787,-39.959692,-36.83,-85.52,103,26715,700,55.53245889371608
70,70,1400000,1.4550865804577757,-37.42581750000001,-35.61,-81.79,27,26742,710,55.58858378198599
71,71,1420000,1.4758735316071725,-50.897478,-51.94,-98.25,277,27019,720,56.16438356164384
72,72,1440000,1.4966604827565693,-33.854268499999996,-33.12,-81.15,23,27042,730,56.21219365165153
73,73,1460000,1.517447433905966,-42.84081449999999,-39.69,-82.95,157,27199,740,56.538549483443155
74,74,1480000,1.5382343850553628,-51.96695450000001,-54.32,-96.74,120,27319,750,56.78799343130937
75,75,1500000,1.5590213362047596,-48.421846,-47.35,-86.82,160,27479,760,57.12058536179766
76,76,1520000,1.5798082873541563,-49.1531625,-49.415,-85.56,212,27691,770,57.56126966969464
